var_id,model,index
abs550aer,CESM2,25
abs550aer,CESM2-FV2,4
abs550aer,CESM2-WACCM,3
abs550aer,CESM2-WACCM-FV2,4
acabf,CESM2,36
acabf,CESM2-FV2,8
acabf,CESM2-WACCM,2
acabf,CESM2-WACCM-FV2,8
acabfIs,CESM2,18
acabfIs,CESM2-FV2,4
acabfIs,CESM2-WACCM,1
acabfIs,CESM2-WACCM-FV2,4
airmass,CESM2,28
airmass,CESM2-FV2,4
airmass,CESM2-WACCM,3
airmass,CESM2-WACCM-FV2,4
areacello,CESM2,8
areacello,CESM2-WACCM,1
baresoilFrac,CESM2,47
baresoilFrac,CESM2-WACCM,13
burntFractionAll,CESM2,22
burntFractionAll,CESM2-FV2,4
burntFractionAll,CESM2-WACCM,2
burntFractionAll,CESM2-WACCM-FV2,4
cCwd,CESM2,14
cCwd,CESM2-FV2,4
cCwd,CESM2-WACCM-FV2,4
cLand,CESM2,12
cLand,CESM2-WACCM,4
cLeaf,CESM2,12
cLeaf,CESM2-FV2,4
cLeaf,CESM2-WACCM-FV2,4
cLitter,CESM2,24
cLitter,CESM2-WACCM,8
cProduct,CESM2,50
cProduct,CESM2-FV2,8
cProduct,CESM2-WACCM,8
cProduct,CESM2-WACCM-FV2,8
cRoot,CESM2,11
cRoot,CESM2-FV2,4
cRoot,CESM2-WACCM-FV2,4
cSoil,CESM2,68
cSoil,CESM2-FV2,6
cSoil,CESM2-WACCM,8
cSoil,CESM2-WACCM-FV2,7
cSoilFast,CESM2,12
cSoilFast,CESM2-FV2,4
cSoilFast,CESM2-WACCM-FV2,4
cSoilMedium,CESM2,14
cSoilMedium,CESM2-FV2,4
cSoilMedium,CESM2-WACCM-FV2,4
cSoilSlow,CESM2,13
cSoilSlow,CESM2-FV2,4
cSoilSlow,CESM2-WACCM-FV2,4
cVeg,CESM2,605
cVeg,CESM2-FV2,6
cVeg,CESM2-WACCM,38
cVeg,CESM2-WACCM-FV2,3
cdnc,CESM2,22
cdnc,CESM2-FV2,4
cdnc,CESM2-WACCM,3
cdnc,CESM2-WACCM-FV2,4
cfc11global,CESM2,18
cfc11global,CESM2-WACCM,10
cfc12global,CESM2,18
cfc12global,CESM2-WACCM,9
ch4,CESM2-WACCM,42
ch4,CESM2-WACCM-FV2,12
ch4global,CESM2,18
chl,CESM2,102
chl,CESM2-WACCM,34
ci,CESM2,18
ci,CESM2-WACCM,10
cl,CESM2,18
cl,CESM2-WACCM,9
cli,CESM2,75
cli,CESM2-WACCM,20
clivi,CESM2,562
clivi,CESM2-WACCM,30
clt,CESM2,768
clt,CESM2-FV2,21
clt,CESM2-WACCM,41
clt,CESM2-WACCM-FV2,21
clw,CESM2,78
clw,CESM2-WACCM,20
clwvi,CESM2,562
clwvi,CESM2-WACCM,30
co,CESM2-WACCM,3
co,CESM2-WACCM-FV2,4
co2,CESM2,34
co2,CESM2-FV2,8
co2,CESM2-WACCM,33
co2,CESM2-WACCM-FV2,8
cropFrac,CESM2,561
cropFrac,CESM2-WACCM,30
deptho,CESM2,18
deptho,CESM2-FV2,1
deptho,CESM2-WACCM,4
deptho,CESM2-WACCM-FV2,1
deptho,MCM-UA-1-0,1
emidms,CESM2,22
emidms,CESM2-FV2,4
emidms,CESM2-WACCM,3
emidms,CESM2-WACCM-FV2,4
emidust,CESM2,28
emidust,CESM2-FV2,4
emidust,CESM2-WACCM,10
emidust,CESM2-WACCM-FV2,4
emilnox,CESM2-WACCM,3
emilnox,CESM2-WACCM-FV2,4
emiss,CESM2,27
emiss,CESM2-FV2,4
emiss,CESM2-WACCM,10
emiss,CESM2-WACCM-FV2,4
evspsbl,CESM2,612
evspsbl,CESM2-FV2,14
evspsbl,CESM2-WACCM,37
evspsbl,CESM2-WACCM-FV2,15
fLuc,CESM2,12
fLuc,CESM2-WACCM,4
fgco2,CESM2,185
fgco2,CESM2-FV2,16
fgco2,CESM2-WACCM,50
fgco2,CESM2-WACCM-FV2,16
gpp,CESM2,571
gpp,CESM2-FV2,2
gpp,CESM2-WACCM,32
grassFrac,CESM2,47
grassFrac,CESM2-WACCM,16
hfds,CESM2,122
hfds,CESM2-FV2,8
hfds,CESM2-WACCM,38
hfds,CESM2-WACCM-FV2,8
hfls,CESM2,804
hfls,CESM2-FV2,29
hfls,CESM2-WACCM,52
hfls,CESM2-WACCM-FV2,29
hfss,CESM2,804
hfss,CESM2-FV2,29
hfss,CESM2-WACCM,52
hfss,CESM2-WACCM-FV2,29
hur,CESM2,562
hur,CESM2-WACCM,30
hurs,CESM2,487
hurs,CESM2-FV2,81
hurs,CESM2-WACCM,102
hurs,CESM2-WACCM-FV2,85
