,filepath,pid,cfversion,timestamp,error_level,error_type,var_id,error_details,logfile,model,dataset_id,error_var_type,cf_severity_level
1926,/badc/cmip6/data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp585/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp585_r1i1p1f1_gn.nc,hdl:21.14100/f6e38a72-14f9-4e4f-811e-006d1db95388,CF-1.7 CMIP-6.0 UGRID-1.0,2020-09-23,ERROR,variable,lon_bnds,'(7.1): bounds attribute referencing non-existent variable lon_bnds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp585/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp585_r1i1p1f1_gn.log,GFDL-ESM4,CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp585.r1i1p1f1.fx.orog.gn.v20180701,other,major
1927,/badc/cmip6/data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp585/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp585_r1i1p1f1_gn.nc,hdl:21.14100/f6e38a72-14f9-4e4f-811e-006d1db95388,CF-1.7 CMIP-6.0 UGRID-1.0,2020-09-23,ERROR,variable,lat_bnds,'(7.1): bounds attribute referencing non-existent variable lat_bnds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp585/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp585_r1i1p1f1_gn.log,GFDL-ESM4,CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp585.r1i1p1f1.fx.orog.gn.v20180701,other,major
10612,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_ssp126_r1i1p1f1_gn_201501-206412.nc,hdl:21.14100/2aebe0b1-edd1-47fe-889a-e01ab3a960cd,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_ssp126_r1i1p1f1_gn_201501-206412.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp126.r1i1p1f1.SImon.simass.gn.v20200420,other,major
10613,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_ssp126_r1i1p1f1_gn_206501-210012.nc,hdl:21.14100/a8f4dee0-3ab2-4da6-b4b1-1871928198d3,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_ssp126_r1i1p1f1_gn_206501-210012.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp126.r1i1p1f1.SImon.simass.gn.v20200420,other,major
56983,/badc/cmip6/data/CMIP6/CMIP/THU/CIESM/historical/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_historical_r1i1p1f1_gn_185001-189912.nc,hdl:21.14100/e53d0113-814a-4c31-9460-086cba989d80,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/CMIP/THU/CIESM/historical/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_historical_r1i1p1f1_gn_185001-189912.log,CIESM,CMIP6.CMIP.THU.CIESM.historical.r1i1p1f1.SImon.simass.gn.v20200420,other,major
56984,/badc/cmip6/data/CMIP6/CMIP/THU/CIESM/historical/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_historical_r1i1p1f1_gn_190001-194912.nc,hdl:21.14100/fe0b8670-8af9-41c3-9a80-3fa2517990d7,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/CMIP/THU/CIESM/historical/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_historical_r1i1p1f1_gn_190001-194912.log,CIESM,CMIP6.CMIP.THU.CIESM.historical.r1i1p1f1.SImon.simass.gn.v20200420,other,major
56985,/badc/cmip6/data/CMIP6/CMIP/THU/CIESM/historical/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_historical_r1i1p1f1_gn_195001-201412.nc,hdl:21.14100/a51f31bc-7c82-40b2-bbf6-c78d27e9c61e,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/CMIP/THU/CIESM/historical/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_historical_r1i1p1f1_gn_195001-201412.log,CIESM,CMIP6.CMIP.THU.CIESM.historical.r1i1p1f1.SImon.simass.gn.v20200420,other,major
58672,/badc/cmip6/data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp370/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp370_r1i1p1f1_gn.nc,hdl:21.14100/31e144a4-614b-4166-b430-7e39315d2ed9,CF-1.7 CMIP-6.0 UGRID-1.0,2020-09-23,ERROR,variable,lon_bnds,'(7.1): bounds attribute referencing non-existent variable lon_bnds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp370/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp370_r1i1p1f1_gn.log,GFDL-ESM4,CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp370.r1i1p1f1.fx.orog.gn.v20180701,other,major
58673,/badc/cmip6/data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp370/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp370_r1i1p1f1_gn.nc,hdl:21.14100/31e144a4-614b-4166-b430-7e39315d2ed9,CF-1.7 CMIP-6.0 UGRID-1.0,2020-09-23,ERROR,variable,lat_bnds,'(7.1): bounds attribute referencing non-existent variable lat_bnds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp370/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp370_r1i1p1f1_gn.log,GFDL-ESM4,CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp370.r1i1p1f1.fx.orog.gn.v20180701,other,major
59569,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/siconc/gn/v20200420/siconc_SImon_CIESM_ssp126_r1i1p1f1_gn_201501-206412.nc,hdl:21.14100/ea889bb8-d897-4544-91ff-fa6ea008fac8,CF-1.7 CMIP-6.2,2020-12-03,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/siconc/gn/v20200420/siconc_SImon_CIESM_ssp126_r1i1p1f1_gn_201501-206412.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp126.r1i1p1f1.SImon.siconc.gn.v20200420,other,major
